                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9686,                 5.9966,                 2.4987,                0.06667,                0.00901,                0.03366,                0.02356,                 2.6954,                 5.0686,                 2.4264,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.9114,                 6.1624,                 2.6175,                0.05882,                0.00901,                0.02974,                0.02082,                 2.6532,                 5.1329,                 2.3941,              9.995e-05,              9.995e-05,              9.995e-05
                      3,                 3.0167,                 6.3589,                 2.6517,                0.05882,                0.00901,                0.02974,                0.02082,                 2.7176,                 8.1025,                 2.4193,             0.00015984,             0.00015984,             0.00015984
                      4,                 2.6547,                 4.3718,                 2.2602,                0.11572,                0.01802,                0.02994,                 0.0194,                 2.9089,                   5.66,                 2.2951,             0.00021967,             0.00021967,             0.00021967
                      5,                 2.3649,                 3.2961,                 2.0933,                0.03846,                0.01802,                0.01971,                0.00686,                 2.8033,                 7.2826,                 2.0741,             0.00027944,             0.00027944,             0.00027944
                      6,                 2.3963,                 3.1416,                 2.0987,                 0.1904,                0.00901,                0.00574,                0.00172,                 3.0103,                 6.3963,                 2.2725,             0.00033915,             0.00033915,             0.00033915
                      7,                 2.1452,                 2.7094,                 1.9099,                0.26618,                0.01802,                0.02616,                0.01047,                 2.8579,                 4.8892,                  2.248,              0.0003988,              0.0003988,              0.0003988
                      8,                 2.1124,                 2.6044,                 1.7969,                0.06977,                0.05405,                0.03795,                0.01113,                 2.8008,                 5.7245,                  2.239,             0.00045839,             0.00045839,             0.00045839
                      9,                 2.2077,                 2.6774,                 1.8938,                0.18367,                0.08108,                0.11296,                0.04468,                 2.7857,                 4.6373,                 2.2372,             0.00051792,             0.00051792,             0.00051792
                     10,                  2.094,                 2.5439,                 1.9155,                0.19906,                0.07207,                0.09372,                0.03491,                 2.8337,                 5.1509,                 2.3053,             0.00057739,             0.00057739,             0.00057739
                     11,                 2.0345,                 2.1445,                 1.7998,                0.29734,                0.06306,                0.09261,                0.02159,                 2.8378,                 4.8833,                 2.3853,              0.0006368,              0.0006368,              0.0006368
                     12,                 2.0459,                 2.2158,                 1.8361,                0.10859,                0.10811,                0.08486,                0.03115,                  2.881,                 5.1409,                 2.4214,             0.00069615,             0.00069615,             0.00069615
                     13,                 2.0574,                 2.5004,                 1.8215,                0.15642,                0.06306,                0.06463,                0.02713,                 2.8189,                 5.1395,                 2.5269,             0.00075544,             0.00075544,             0.00075544
                     14,                 1.9852,                 2.3387,                 1.8019,                0.06893,                0.08108,                 0.0367,                0.01161,                 2.7227,                  18.05,                 2.5311,             0.00081467,             0.00081467,             0.00081467
                     15,                 2.0486,                 2.4066,                 1.7986,                0.07237,                0.07207,                0.04126,                0.01239,                 2.8544,                 10.658,                 2.7279,             0.00087384,             0.00087384,             0.00087384
                     16,                 1.9658,                 2.1493,                 1.7369,                0.09174,                0.08108,                0.04735,                0.01686,                  2.885,                 10.161,                 2.8829,             0.00093295,             0.00093295,             0.00093295
                     17,                  1.963,                 2.1046,                 1.8352,                  0.019,                0.05405,                0.00955,                  0.003,                 2.8957,                 38.991,                  3.135,               0.000992,               0.000992,               0.000992
                     18,                 1.9408,                 2.1073,                  1.887,                0.01247,                0.08108,                0.00674,                0.00161,                 3.0082,                  69.16,                 2.8636,               0.001051,               0.001051,               0.001051
                     19,                 2.1426,                 2.0986,                 1.8849,                0.00616,                0.02703,                0.00314,                0.00072,                 2.9814,                 61.476,                 2.8312,              0.0011099,              0.0011099,              0.0011099
                     20,                 2.0661,                 1.9663,                 1.8176,                0.02532,                0.07207,                0.01366,                0.00334,                 2.9078,                 15.182,                 2.5841,              0.0011688,              0.0011688,              0.0011688
